City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,anadyr,64.75,177.4833,41.0,93,40,10.0,RU,1698041589
138,maracaibo,10.6317,-71.6406,77.25200000000008,92,100,2.88,VE,1698041589
139,sarangani,5.4033,125.4636,84.72200000000004,68,58,2.92,PH,1698041589
140,rio rancho,35.2334,-106.6645,69.47600000000008,34,0,3.6,US,1698041589
141,mariinsk,56.2139,87.7472,46.22000000000006,76,100,10.57,RU,1698041491
142,banda aceh,5.5577,95.3222,82.68800000000005,72,100,3.05,ID,1698041351
143,wewak,-3.5534,143.6268,84.59600000000005,74,57,2.53,PG,1698041590
144,duitama,5.8245,-73.0341,52.91600000000001,93,100,1.38,CO,1698041590
145,hasaki,35.7333,140.8333,71.99600000000005,46,80,2.07,JP,1698041590
146,urengoy,65.9667,78.3667,28.65200000000008,79,72,5.52,RU,1698041590
147,uturoa,-16.7333,-151.4333,80.49199999999999,82,26,6.49,PF,1698041590
148,hatillo,18.4863,-66.8254,80.07800000000006,92,7,2.24,PR,1698041591
149,summerlin south,36.1027,-115.3811,69.85400000000006,34,0,4.49,US,1698041591
150,dudinka,69.4058,86.1778,29.624000000000013,88,92,4.31,RU,1698041382
151,lensk,60.7253,114.9278,32.522000000000034,83,100,5.6,RU,1698041399
152,dilling,12.05,29.65,83.42600000000009,21,7,3.83,SD,1698041591
153,pitkyaranta,61.5734,31.4792,31.244000000000074,71,100,2.64,RU,1698041591
154,chonchi,-42.6128,-73.8092,41.12600000000009,98,39,1.09,CL,1698041592
155,fuman,37.2273,49.3142,65.69600000000005,68,13,1.11,IR,1698041592
156,vorgashor,67.5833,63.95,12.29000000000002,94,68,2.11,RU,1698041592
157,kudahuvadhoo,2.6708,72.8944,81.87800000000007,72,96,4.08,MV,1698041592
158,tralee,52.2704,-9.7026,52.05200000000008,93,20,2.57,IE,1698041592
159,boali,4.8005,18.1275,75.29000000000002,90,94,0.74,CF,1698041593
160,nusaybin,37.0778,41.2178,74.84000000000002,32,45,0.54,TR,1698041593
161,lata,40.1629,-8.3327,56.06600000000001,94,100,0.72,PT,1698041593
162,wanning,18.8003,110.3967,78.42200000000004,90,100,5.79,CN,1698041369
163,arkhangel'sk,64.5401,40.5433,34.088000000000044,66,22,3.92,RU,1698041593
164,zykovo,55.9519,93.1461,48.938000000000045,48,97,4.64,RU,1698041593
165,qamdo,31.1667,97.2333,41.522000000000034,31,0,2.97,CN,1698041594
166,udachny,66.4167,112.4,25.448000000000025,92,100,2.01,RU,1698041594
167,cabedelo,-6.9811,-34.8339,74.066,89,94,2.87,BR,1698041594
168,stanley,54.868,-1.6985,35.780000000000044,100,20,0.51,GB,1698041569
169,arar,30.9753,41.0381,71.61800000000008,40,20,6.17,SA,1698041594
170,beyneu,45.3167,55.2,46.148000000000025,47,55,1.92,KZ,1698041595
171,tolanaro,-25.0319,46.9987,86.64800000000002,47,85,0.07,MG,1698041595
172,bereznik,62.8551,42.7072,28.868000000000087,89,65,2.04,RU,1698041595
173,jimenez,28.3333,-105.4,67.73000000000005,58,100,0.44,MX,1698041595
174,colonia menno,-22.3667,-59.8167,87.58399999999999,38,9,4.1,PY,1698041595
175,vilyuysk,63.7553,121.6247,30.164000000000033,92,100,0.45,RU,1698041596
176,belmonte,-15.8631,-38.8828,72.87800000000007,86,64,4.59,BR,1698041596
177,laguna,38.421,-121.4238,62.07800000000007,91,100,1.54,US,1698041390
178,necochea,-38.5473,-58.7368,56.12000000000006,93,100,2.63,AR,1698041596
179,ilha de mocambique,-15.0342,40.7358,87.674,48,32,4.15,MZ,1698041596
180,nowe,53.6491,18.7272,48.34400000000007,92,55,3.03,PL,1698041597
181,isafjordur,66.0755,-23.124,42.02600000000009,71,100,3.47,IS,1698041597
182,al ghayzah,16.2079,52.176,79.88000000000004,72,100,11.19,YE,1698041597
183,constitucion,-35.3333,-72.4167,51.38600000000007,87,0,6.24,CL,1698041594
184,lebu,-37.6167,-73.65,50.93600000000007,83,1,8.53,CL,1698041597
